TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
HCAR-BKDQJ3,Al & Jan's Fish & Chips,9014 152 St,Surrey,Restaurant,49.16697311,-122.79924011
A019703    ,T&T (Surrey) Bakery,15277 100 Ave,Surrey,Restaurant,49.18444061,-122.79878998
NDAA-9NVSPB,Little Tea House (Surrey),15277 100 Ave,Surrey,Restaurant,49.18444061,-122.79878998
HCAR-CJUMFE,Jin Soo Sung Chan Korean Restaurant,10312 152A St,Surrey,Restaurant,49.18971779,-122.79925035
GEDS-66BRNT,Sheraton Vancouver Guildford Hotel - Fresh Restaurant,15269 104 Ave,Surrey,Restaurant,49.19170761,-122.79884338
SHEN-APFPTJ,Everbean,15331 16 Ave,Surrey,Restaurant,49.03132629,-122.79862213
GEDS-646TNK,Notti Biscotti,15252 32 Ave,Surrey,Restaurant,49.06100845,-122.79846954
SHEN-AU2T45,Isshin Sushi,15335 No 10 Hwy,Surrey,Restaurant,49.1046896,-122.79808571
SWOD-AFTSDT,Quizno's Classic Subs #7266,15335 56 Ave,Surrey,Restaurant,49.10469055,-122.79808807
HCAR-CG4PS9,Garcha Bros Meat Shop and Poultry (68th Ave),15299 68th Ave,Surrey,Restaurant,49.12637621,-122.79844645
A018178    ,Church's Chicken #5621,15318 Fraser Hwy,Surrey,Restaurant,49.16467285,-122.79827881
HCAR-BJ9P56,Sunnyside Manor - Food Service,15340 17 Ave,Surrey,Restaurant,49.0328064,-122.79737854
HCAR-BEET35,Xiyu Restaurant,15355 24 Ave,Surrey,Restaurant,49.0458374,-122.79750824
NDAA-9AZT2Q,Pacifica Retirement Residence,2525 King George Blvd,Surrey,Restaurant,49.04777908,-122.79766083
SWOD-APTQFP,Suncrest Retirement Community,2567 King George Blvd,Surrey,Restaurant,49.0485611,-122.7977829
MARO-B8MS4M,Hannam Supermarket Restaurant,15357 104 Ave,Surrey,Restaurant,49.1917038,-122.79665375
HCAR-CFSMS5,No 24 Cafe & Bistro,15355 24th Ave,Surrey,Restaurant,49.04565113,-122.79692263
HCAR-BUVNPG,Denny's #9802,15373 Fraser Hwy,Surrey,Restaurant,49.16442851,-122.79644516
HCAR-BN2NYF,Hangry Health Bar,15380 102A Ave,Surrey,Restaurant,49.18859323,-122.79625235
HCAR-BCUPMH,Hangry Health Bar,15380 102A Ave,Surrey,Restaurant,49.18859482,-122.79624939
SPLH-987TB4,Crispy Falafel (Surrey),2408 King George Blvd,Surrey,Restaurant,49.04586792,-122.79332733
RORS-63ZMXY,Assini Pizza Restaurant Ltd,15551 Fraser Hwy,Surrey,Restaurant,49.16241837,-122.79125977
GEDS-69UQBR,Fleetwood Triple O,15588 Fraser Hwy,Surrey,Restaurant,49.16171265,-122.79063416
GEDS-82CUW2,Thrifty Foods #9472 - Meat & Seafood Section,15745 Croydon Dr,Surrey,Restaurant,49.04809189,-122.78588104
SDFO-89YT2W,Mink A Chocolate Cafe,15775 Croydon Dr,Surrey,Restaurant,49.04768753,-122.78492737
SHEN-AAKQEF,Boston Pizza #59,15980 Fraser Hwy,Surrey,Restaurant,49.15829468,-122.78191376
HCAR-C4AU3Y,Raku Sushi (160th St),2355 160th St,Surrey,Restaurant,49.04439297,-122.78143202
HCAR-CFSN7D,Freshii #1120,15940 Fraser Hwy,Surrey,Restaurant,49.15704507,-122.78096494
