TRACKINGNUMBER,NAME,CITY,ADDRESS,LONGITUDE,LATITUDE,UTMX,UTMY
A018362    ,Guildford Golf & Country Club Concession,Surrey,7929 152 St,-122.80138397,49.14458466,514485.17742313736,5443547.763555626
HPAR-9ZZTHE,Circle K Store #11156,Surrey,10020 152nd St,-122.80059474,49.18460091,514531.0226618237,5447996.455010258
GEDS-6Q4UFR,White Spot #629,Surrey,10181 152 St,-122.80131531,49.18706512,514477.7944912272,5448270.260111243
HCAR-B9RRK2,Sushi Tengoku,Surrey,10194 152 St,-122.80063629,49.18767929,514527.09361617366,5448338.66672435
HCAR-CJ8UJQ,Papa John's Pizza #009770 (Surrey),Surrey,10320 152nd St,-122.80084567,49.19001801,514511.15268089675,5448598.61929193
HCAR-BRYMQR,Papa John's Pizza #009770 (Surrey),Surrey,10320 152nd St,-122.80059715,49.19010913,514529.2341131145,5448608.796665793
SDFO-8JBLH9,Papa John's Pizza #009770 (Surrey),Surrey,10320 152 St,-122.80059814,49.19010925,514529.1619429316,5448608.809816039
SDFO-8EUQ7N,Sawbuck's Pub,Surrey,1626 152 St,-122.80089569,49.03165054,514553.7580008858,5430993.324894837
HCAR-BKDP6G,Provoke Cafe,Surrey,1688 152 St,-122.80089569,49.03243637,514553.52878200193,5431080.682300769
HCAR-BP7U6H,Kesari Sweets and Eats,Surrey,1990 152nd St,-122.80051906,49.03807582,514579.4103700128,5431707.66881926
NDAA-A67QA4,Quiznos Sub #7833,Surrey,2670 152 St,-122.80093384,49.05026627,514545.5396576645,5433062.752959039
KHON-6RKPB6,COBS Bread (152nd St),Surrey,2990 152 St,-122.80089569,49.05622864,514546.58750367863,5433725.574239338
SWOD-ALRRB2,Rosemary Heights Seniors Village (Main Kitchen),Surrey,15240 34 Ave,-122.80059052,49.06355667,514566.7415479386,5434540.262933039
SPLH-ASQTDV,C-Lovers Fish and Chips (South Surrey),Surrey,2655 King George Blvd,-122.7999115,49.05031586,514620.22630492895,5433068.462217485
